Uid,Indegree rank,Group
2372255055,1,Specialist
1638781994,2,Specialist
2993049293,3,Generalist
1883881851,4,Specialist
1341902602,5,Specialist
1736329970,6,Specialist
2018499075,7,Specialist
1642292081,8,Specialist
1698513182,9,Specialist
2142168143,10,Generalist
3098510521,11,Specialist
1990309453,12,Specialist
6027167937,13,Specialist
1173446387,14,Specialist
2747143811,15,Specialist
2432009827,16,Specialist
2156294570,17,Generalist
3515112791,18,Specialist
5568490146,19,Generalist
1747790171,20,Generalist
2482557597,21,Generalist
5635855696,22,Specialist
1990895721,23,Specialist
1760341084,24,Specialist
5215495831,25,Specialist
2193518494,26,Specialist
1537790411,27,Generalist
1737961042,28,Specialist
3204839810,29,Specialist
1778912865,30,Specialist
3690518992,31,Specialist
2418842335,32,Specialist
1712318565,33,Specialist
1742566624,34,Generalist
3069348215,35,Generalist
2803301701,36,Generalist
2412421034,37,Specialist
2243735721,38,Specialist
5057725360,39,Specialist
1990303727,40,Specialist
1189615035,41,Specialist
2302617634,42,Specialist
2971183691,43,Specialist
1253139560,44,Specialist
1668293725,45,Specialist
2075686772,46,Specialist
1495452561,47,Specialist
1901333207,48,Specialist
5617171689,49,Specialist
2218894100,50,Specialist
1706675184,51,Specialist
1990921871,52,Specialist
5111339189,53,Specialist
2485122903,54,Specialist
1234849602,55,Specialist
1046561220,56,Specialist
1826082103,57,Specialist
2841877911,58,Specialist
5235726837,59,Specialist
5720474518,60,Specialist
1725010007,61,Specialist
1712570933,62,Generalist
1662214194,63,Generalist
5532648623,64,Generalist
3800478724,65,Specialist
5058390436,66,Specialist
2751313073,67,Generalist
2656274875,68,Generalist
1665964555,69,Specialist
5139152205,70,Specialist
2060903445,71,Specialist
1891845373,72,Generalist
2809841193,73,Specialist
5625254784,74,Specialist
1002861732,75,Specialist
1624923463,76,Specialist
5341306507,77,Specialist
5746403289,78,Specialist
5260938047,79,Specialist
1797679051,80,Specialist
2466386627,81,Specialist
1743578995,82,Specialist
6019918741,83,Generalist
2758719013,84,Specialist
1664207987,85,Specialist
3881723316,86,Specialist
3855731810,87,Specialist
1195354434,88,Generalist
1718966023,89,Specialist
1744957737,90,Specialist
1663312090,91,Specialist
1695958733,92,Generalist
5044281310,93,Generalist
3800480136,94,Specialist
1899810091,95,Specialist
1894798092,96,Specialist
6013864545,97,Specialist
1241148864,98,Generalist
5190095289,99,Specialist
2357832895,100,Specialist
1211107793,101,Specialist
3171897472,102,Specialist
1457530250,103,Specialist
5055789088,104,Specialist
5631861909,105,Specialist
3920631851,106,Specialist
5058390938,107,Specialist
1842136381,108,Specialist
2710878191,109,Specialist
1974576991,110,Generalist
1819318401,111,Specialist
2755394563,112,Specialist
6008285888,113,Specialist
2796335744,114,Specialist
2687299131,115,Generalist
5980267921,116,Specialist
2205169727,117,Specialist
5508233899,118,Specialist
1235481371,119,Specialist
1990275137,120,Specialist
2174534013,121,Specialist
2549228714,122,Generalist
2361776867,123,Specialist
5031234543,124,Specialist
2397997330,125,Specialist
1286659964,126,Generalist
5709076056,127,Specialist
1281488180,128,Specialist
1714397395,129,Specialist
1747843401,130,Specialist
5408596403,131,Specialist
3173515672,132,Specialist
5437851984,133,Specialist
2610020434,134,Specialist
5500545510,135,Specialist
2083326977,136,Specialist
1092538373,137,Specialist
2609400635,138,Generalist
1716376363,139,Specialist
5250260756,140,Specialist
1730866981,141,Specialist
2286908003,142,Generalist
1937376377,143,Generalist
1005479794,144,Specialist
1850988623,145,Generalist
1747494955,146,Specialist
1935198185,147,Generalist
1650107735,148,Specialist
1300957955,149,Generalist
2430259303,150,Generalist
5041890608,151,Specialist
1911906957,152,Specialist
2211979435,153,Specialist
1642088277,154,Generalist
2450512472,155,Specialist
1861054113,156,Specialist
5870071346,157,Specialist
2494935602,158,Specialist
2871868031,159,Specialist
2481951041,160,Specialist
5582182700,161,Specialist
5498972025,162,Specialist
2832469547,163,Specialist
1763582395,164,Specialist
3146661474,165,Specialist
2637034310,166,Specialist
5143716103,167,Specialist
6033930155,168,Generalist
2231869757,169,Specialist
1784404677,170,Specialist
1830442653,171,Generalist
1158180841,172,Specialist
1892463935,173,Specialist
5239863155,174,Generalist
1444225292,175,Specialist
2166792032,176,Generalist
5042958097,177,Specialist
5460991756,178,Generalist
3043951887,179,Specialist
2989789141,180,Specialist
2000518915,181,Specialist
1947083247,182,Specialist
1990954515,183,Specialist
5067607858,184,Generalist
3566646574,185,Specialist
3802896629,186,Specialist
2730881795,187,Specialist
2217066377,188,Specialist
2033139325,189,Specialist
2312330153,190,Specialist
1713926427,191,Generalist
1750822455,192,Specialist
1706463014,193,Specialist
3329910664,194,Specialist
5087015251,195,Specialist
1990905835,196,Specialist
2085833721,197,Specialist
1195908387,198,Generalist
5466272016,199,Specialist
3296530723,200,Specialist
